donor	before_FMT	after_FMT	data	comment
HD_1-892	Cosmic_27	Cosmic_31	shotgun_metagenomics	
HD_2-901	Cosmic_29	Cosmic_39	shotgun_metagenomics	beforeFMT could be Cosmic_32
HD_3-911	Cosmic_32	Cosmic_36	shotgun_metagenomics	beforeFMT could be Cosmic_29
HD_4-913	Cosmic_34	Cosmic_40	shotgun_metagenomics	
HD_5-915	Cosmic_35	Cosmic_41	shotgun_metagenomics	
HD_6-955	Cosmic_46	Cosmic_52	shotgun_metagenomics	
HD_7-983	Cosmic_45	Cosmic_57	shotgun_metagenomics	
HD_6-955	Cosmic_9	Cosmic_53	shotgun_metagenomics	
HD_8-964	Cosmic_48	Cosmic_58	shotgun_metagenomics	
HD_11-821	Cosmic_51	Cosmic_56	shotgun_metagenomics	
HD_12-1052	Cosmic_54	Cosmic_60	shotgun_metagenomics	
HD_1	Cosmic_27	Cosmic_31	blood_scenith	
HD_2	Cosmic_29	Cosmic_36	blood_scenith	
HD_3	Cosmic_32	Cosmic_39	blood_scenith	
HD_4	Cosmic_34	Cosmic_40	blood_scenith	
HD_5	Cosmic_35	Cosmic_41	blood_scenith	
HD_6	Cosmic_46	Cosmic_52	blood_scenith	
HD_7	Cosmic_45	Cosmic_57	blood_scenith	
HD_8	Cosmic_9	Cosmic_53	blood_scenith	
HD_9	Cosmic_48	Cosmic_58	blood_scenith	
HD_10	Cosmic_51	Cosmic_56	blood_scenith	
HD_11	Cosmic_54	Cosmic_60	blood_scenith	
