pathway	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3_911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
PWY-7238: sucrose biosynthesis II	15044.0653361455	23523.2778024316	35586.5709097757	23447.4597620555	15267.9355034199	34942.2935153215	28907.5077850281	36598.0055134799	18839.6673350313	42993.4607397268	30511.5426459212	26978.4564399759	14840.8265823214	3293.2384435095	26339.9285366062	6293.057960098	22279.9773848618	7930.5815472171	12842.8719953006	26169.831973155	11693.3603638196	27128.6586700848	10771.8177497075	21215.5226427582	16519.6882944657	20817.7111656339	30719.0228234199	20179.425697787	17700.0387029019	21943.4993718999	19225.4371385107
VALSYN-PWY: L-valine biosynthesis	12147.9175554685	15819.4716442188	24267.8482932184	16445.7239326297	11556.599914648	22867.3101312106	18966.2205610344	28262.1445819115	12680.5569525311	28417.3450877864	26471.3632631546	24632.3994360091	13166.2629803185	3642.331921726	32155.6370663814	12280.2352782354	22300.3300925814	5676.8491350656	10663.5702081691	25754.5930365557	14839.4068707496	32931.2563711947	12073.3450304756	26743.4310445067	12778.1305967163	14628.8337646613	52024.0655664409	15745.3962788354	18491.4555563252	17735.2494393509	17291.4595298648
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	11751.3506339248	17740.5290938667	30821.2427677177	17999.1916197521	12273.5580502869	26699.323908539	25910.2957494019	26574.6798789563	15866.8751729829	34617.1340179682	21005.1596439571	21203.4896629208	11795.2366494502	4485.2511505064	25283.2983652359	7034.0798194004	21995.4413088391	6210.1430317153	10389.5057131845	20031.6204206352	8535.1835437099	23862.9747667296	7118.1888631024	16247.7576787738	11919.2719451282	16189.4124721111	28275.596648025	16905.8563361885	13204.4535717963	17292.145211259	16542.6425261799
PWY-5941: glycogen degradation II	11410.9742361445	17968.1773178105	31229.025052935	18007.6143150712	12615.8344091122	31186.875779116	25213.8160236358	30177.3579560302	16299.1173752631	38761.3784569424	28436.2364692648	21920.2953983288	9707.3929826207	3814.4838236078	28451.1766896969	6930.652407194	20571.0182134606	5784.9642460282	8798.3717848808	23079.3458106661	11588.7146857317	28490.396609183	8513.7625520042	21333.8406460159	11880.3478370364	14841.9004457037	31972.1165975521	17621.2498724524	16102.3760415718	16563.4681166944	14018.8960074176
PWY-1042: glycolysis IV	11273.2173648366	15862.2300919651	25659.3034946779	16093.9162627154	11228.8269294462	24410.3412051225	22040.7897842548	26963.5173237293	13670.0013414222	31093.0482940336	29925.9269475073	27433.5889082736	11842.0567894428	6106.6532952843	33846.4782415678	14866.9342792609	22369.7024633665	5759.6305644897	10823.0946625896	27650.4906480722	11218.6885687829	46849.251937141	12335.7224956052	28827.4937557552	13303.3151096509	16302.5311253063	49478.2432754858	19051.1151526041	19308.0162721521	19209.2281690522	19127.1009252125
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	11039.8241573521	15270.2777032722	23585.2537478961	15580.3012130434	10529.9938708717	21422.9559941628	19852.3879605187	24052.7498772912	12481.792908482	27427.1508386324	18233.4285314534	18022.2925296717	9038.1168668474	2993.6563620519	22932.4150832529	10007.9658961875	16592.9433912921	5053.3752544983	8371.9606039878	17574.3353750054	8437.6262802511	23401.5429101528	5237.3597071174	19578.6201250224	9995.8201925438	11991.4568533184	30654.3745514248	12898.6757111885	11844.5264939232	14889.5592718262	13522.8048578777
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	10943.0972447767	14727.6002630731	24849.6430108701	14834.5960289171	10402.2560313209	21944.157004123	20697.6858971361	24704.9082509129	13301.2214372676	28715.5820182773	22085.3234504188	18995.7705045966	11124.5211245071	3609.9372750495	26292.2509950625	9362.4842121012	20785.1540448669	5690.9850025961	10172.1281852452	20472.1127929291	7632.3615043403	26031.0557610573	10009.8616174938	21198.9399176789	11950.9066797801	14386.4720056658	36070.6580958094	16046.3485011936	15527.5232770499	17221.2206905073	17402.1935237785
PWY-5686: UMP biosynthesis I	10861.9513817901	14362.5144455185	22249.4505561329	15179.3680184579	10594.4268399139	21593.0234065425	18541.4690255093	24059.8392408193	11764.7621314909	26286.3935956979	21020.6343496521	18707.5719460701	12836.8393875863	3100.6196896865	21453.3199506767	12368.7469769305	20275.9640173964	6135.4648777308	11014.0274374549	24388.466020119	6069.4890090507	22817.5245662138	10300.6097669351	20119.7394213276	12142.7246533189	15261.4212074066	31076.287899828	16470.4671787196	17797.921788278	18430.0028666799	18247.7834869973
PWY-7790: UMP biosynthesis II	10861.9513817901	14362.5144455185	22249.4505561329	15179.3680184579	10594.4268399139	21593.0234065425	18541.4690255093	24059.8392408193	11764.7621314909	26286.3935956979	21020.6343496521	18707.5719460701	12836.8393875863	3100.6196896865	21453.3199506767	12368.7469769305	20275.9640173964	6135.4648777308	11014.0274374549	24388.466020119	5941.570706535	22817.5245662138	10300.6097669351	20119.7394213276	12142.7246533189	15261.4212074066	31076.287899828	16470.4671787196	17797.921788278	18430.0028666799	18247.7834869973
PWY-7791: UMP biosynthesis III	10861.9513817901	14362.5144455185	22249.4505561329	15179.3680184579	10594.4268399139	21593.0234065425	18541.4690255093	24059.8392408193	11764.7621314909	26286.3935956979	21020.6343496521	18707.5719460701	12836.8393875863	3100.6196896865	21453.3199506767	12368.7469769305	20275.9640173964	6135.4648777308	11014.0274374549	24388.466020119	5941.570706535	22817.5245662138	10300.6097669351	20119.7394213276	12142.7246533189	15261.4212074066	31076.287899828	16470.4671787196	17797.921788278	18430.0028666799	18247.7834869973
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	10838.1263304534	14271.4217956137	22723.7816544285	14903.0453334488	10057.4630963096	20503.4286236713	18790.2938409011	23386.6941891669	11591.7170201239	26039.7689833146	18520.9198268262	17546.9862210457	9064.9735393774	3038.5389887204	21856.1279621484	10894.3564561951	16256.5929790916	5080.6919391363	8389.9006806978	17829.7188814051	9135.1813502255	22553.7675484423	5324.3649639626	20013.8719091672	9805.3845560781	11852.5029215134	30411.7704451679	12766.2333748088	12100.255016062	14756.8282535252	13576.2380507136
ARO-PWY: chorismate biosynthesis I	10631.7731946987	14674.7482147212	24120.9930798084	14699.6860769193	10212.2027163332	21720.6961955942	19882.7641491463	23731.3266145855	12873.247301191	28197.3775625199	22348.9737013133	20084.5944760472	10653.2396990461	3974.3201767435	26446.9666275281	9426.0490269517	20343.721001226	5499.0110611136	9763.1745375713	19896.8074918254	8235.6399758911	28030.4007010695	9047.8393073282	21350.1358736893	11220.3105752816	13709.9963614716	38377.4756036602	15853.3311090426	14615.7458204345	16890.4349813706	16765.9632701683
