pathway	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3_911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
PWY-7238: sucrose biosynthesis II	9.59632e-4	0.00120304	0.00119401	0.00114979	9.98041e-4	0.00122238	0.00112821	0.00102344	0.00113526	0.00118091	5.11356e-4	6.12161e-4	7.07319e-4	3.29268e-4	3.82649e-4	2.0648e-4	5.82466e-4	8.00904e-4	7.11016e-4	6.9067e-4	4.10866e-4	4.13251e-4	5.17335e-4	3.73474e-4	8.53535e-4	8.59196e-4	3.52644e-4	7.09805e-4	6.0708e-4	8.09447e-4	6.54626e-4
VALSYN-PWY: L-valine biosynthesis	7.74893e-4	8.09048e-4	8.14241e-4	8.06447e-4	7.55437e-4	7.99964e-4	7.40219e-4	7.9033e-4	7.64119e-4	7.80548e-4	4.43645e-4	5.58928e-4	6.27508e-4	3.64171e-4	4.67136e-4	4.02925e-4	5.82998e-4	5.73301e-4	5.90364e-4	6.79711e-4	5.21407e-4	5.01642e-4	5.79844e-4	4.70786e-4	6.60217e-4	6.03766e-4	5.97219e-4	5.53839e-4	6.34224e-4	6.54214e-4	5.88774e-4
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	7.49596e-4	9.07296e-4	0.00103412	8.82624e-4	8.02303e-4	9.34019e-4	0.00101123	7.43141e-4	9.56123e-4	9.50839e-4	3.52034e-4	4.81123e-4	5.62165e-4	4.48449e-4	3.67299e-4	2.30794e-4	5.75027e-4	6.27158e-4	5.75191e-4	5.28671e-4	2.99898e-4	3.63505e-4	3.41864e-4	2.86022e-4	6.15842e-4	6.68175e-4	3.24594e-4	5.94658e-4	4.52889e-4	6.37869e-4	5.63277e-4
PWY-5941: glycogen degradation II	7.27884e-4	9.18939e-4	0.0010478	8.83037e-4	8.24678e-4	0.00109101	9.84052e-4	8.43887e-4	9.8217e-4	0.00106467	4.76575e-4	4.97388e-4	4.62658e-4	3.81384e-4	4.1332e-4	2.274e-4	5.37788e-4	5.84219e-4	4.87101e-4	6.09106e-4	4.07189e-4	4.33995e-4	4.08888e-4	3.75557e-4	6.13831e-4	6.1256e-4	3.67029e-4	6.19822e-4	5.52283e-4	6.10989e-4	4.77344e-4
PWY-1042: glycolysis IV	7.19097e-4	8.11235e-4	8.60927e-4	7.89196e-4	7.34011e-4	8.53944e-4	8.60214e-4	7.54015e-4	8.23742e-4	8.54042e-4	5.01541e-4	6.22489e-4	5.64396e-4	6.10562e-4	4.91699e-4	4.87796e-4	5.84811e-4	5.81661e-4	5.99195e-4	7.29747e-4	3.94187e-4	7.13655e-4	5.92445e-4	5.07473e-4	6.87352e-4	6.72844e-4	5.67994e-4	6.70117e-4	6.6223e-4	7.08586e-4	6.51278e-4
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	7.0421e-4	7.80961e-4	7.91338e-4	7.64009e-4	6.88329e-4	7.49437e-4	7.74804e-4	6.72617e-4	7.52141e-4	7.5335e-4	3.05582e-4	4.08939e-4	4.3076e-4	2.99315e-4	3.33147e-4	3.2837e-4	4.3379e-4	5.10337e-4	4.63494e-4	4.63819e-4	2.9647e-4	3.56476e-4	2.51533e-4	3.44658e-4	5.16461e-4	4.94916e-4	3.51902e-4	4.53707e-4	4.06246e-4	5.49243e-4	4.60452e-4
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	6.98039e-4	7.53207e-4	8.33761e-4	7.27442e-4	6.79979e-4	7.6767e-4	8.07795e-4	6.90854e-4	8.01519e-4	7.88739e-4	3.70137e-4	4.31028e-4	5.30198e-4	3.60932e-4	3.81956e-4	3.07191e-4	5.43387e-4	5.74729e-4	5.63156e-4	5.40297e-4	2.68176e-4	3.96531e-4	4.80741e-4	3.73182e-4	6.17476e-4	5.93764e-4	4.14079e-4	5.64425e-4	5.32566e-4	6.35252e-4	5.92545e-4
PWY-5686: UMP biosynthesis I	6.92863e-4	7.34536e-4	7.46519e-4	7.44349e-4	6.92541e-4	7.55386e-4	7.23642e-4	6.72815e-4	7.08934e-4	7.22016e-4	3.52294e-4	4.24489e-4	6.11808e-4	3.10009e-4	3.1166e-4	4.05829e-4	5.30075e-4	6.19616e-4	6.09766e-4	6.43656e-4	2.13262e-4	3.4758e-4	4.94705e-4	3.54184e-4	6.27387e-4	6.29875e-4	3.56745e-4	5.79343e-4	6.10437e-4	6.79842e-4	6.21337e-4
PWY-7790: UMP biosynthesis II	6.92863e-4	7.34536e-4	7.46519e-4	7.44349e-4	6.92541e-4	7.55386e-4	7.23642e-4	6.72815e-4	7.08934e-4	7.22016e-4	3.52294e-4	4.24489e-4	6.11808e-4	3.10009e-4	3.1166e-4	4.05829e-4	5.30075e-4	6.19616e-4	6.09766e-4	6.43656e-4	2.08767e-4	3.4758e-4	4.94705e-4	3.54184e-4	6.27387e-4	6.29875e-4	3.56745e-4	5.79343e-4	6.10437e-4	6.79842e-4	6.21337e-4
PWY-7791: UMP biosynthesis III	6.92863e-4	7.34536e-4	7.46519e-4	7.44349e-4	6.92541e-4	7.55386e-4	7.23642e-4	6.72815e-4	7.08934e-4	7.22016e-4	3.52294e-4	4.24489e-4	6.11808e-4	3.10009e-4	3.1166e-4	4.05829e-4	5.30075e-4	6.19616e-4	6.09766e-4	6.43656e-4	2.08767e-4	3.4758e-4	4.94705e-4	3.54184e-4	6.27387e-4	6.29875e-4	3.56745e-4	5.79343e-4	6.10437e-4	6.79842e-4	6.21337e-4
