sample	bodysite	Malic Acid	Glucose	Lactic acid	Itaconic Acid	Succinic Acid	Fumaric Acid	Citric Acid	Isocitric Acid	Aconitic Acid	Ketoglutaric Acid	Picolinic acid	Quinolinic acid	3-OH-Kynurenine	Serotonine	5-OH-Tryptophane	Kynurenine	3-OH-Anthranilic acid	Tryptamine	Tryptophane	5-OH-Indole acetic acid	Indole-3-Sulfate	N-acetyl-serotonine	Xanthurenic acid	Indole-3-acetamide	Kynurenic acid	Indole-3-Lactic acid	Indole-3-Aldehyde	Indole-3-Acetic acid	Tryptophol	Melatonine	Indole-3-propionic acid	Indole	Acetic Acid	Propionic Acid	Butyric Acid	IsoButyric Acid	Valeric Acid	IsoValeric Acid	THCA	GHCA	TCA	GUDCA	CA-S	GCA	TUDCA	TCDCA	HCA	UDCA	TDCA	GCDCA	CA	GDCA	TLCA	LCA-S	CDCA	GLCA	DCA	LCA
Cosmic_27	feces	253.9	24353.6	8400.6	7.5	6692.7	1426.8	4917.1	657.1	3017.7	965.6	959.47	10.87	5	12.08	1.5	14.08	32.48	7.5	4047.43	5.4	10	1.54	20.23	0.44	35.85	4851.05	45.1	63.88	10.14	0.82	11.25	66.74	74370.15	6015.7	48724.74	39.17	69.75	7.92	3.75	5.13	30.45	28.86	5.64	1357.41	0.83	45.45	3.66	0.99	1.17	1695.22	484.05	42.39	3.75	37.5	428.88	12.5	16.05	112.5
Cosmic_29	feces	407.5	14273.7	20368.9	7.5	5928.2	1755.5	9209.6	452.6	1624.3	536.1	1469.58	100.22	10.41	44.03	9.76	104.87	86.78	1620.25	41550.38	53.2	10	6.96	83.59	1.19	169.24	719.92	102.18	171.74	15.91	0.25	412.14	3677.13	229221.82	35172.18	1055203.83	272.07	815.57	18	2.87	3.75	202.48	3.75	84.76	74.14	3.75	107.55	125.53	20.72	3.75	31.61	57710.97	3.75	25	72.95	10132.28	12.5	37.5	112.5
Cosmic_32	feces	106.1	1717.9	1919.5	7.5	137.1	7.5	2493.7	75	1321.5	15	23.54	54.45	17.93	6.86	1.63	85.85	14.82	22.78	48966.7	1.61	10	0.44	4.32	0.98	12.08	6327.54	36.76	19.99	1	0.5	11.25	132.16	16302.82	4635.09	20748.95	54.95	69.75	18	3.75	1.32	3.75	3.75	1.33	126.81	3.75	5.67	3.75	3.75	3.75	154.69	58.37	3.75	25	37.5	10.85	12.5	37.5	112.5
Cosmic_34	feces	362.7	2769	3730.1	7.5	537	245.7	9871.9	497.8	120.6	127.9	592.89	57.09	5	13.35	1.34	32.21	102.51	8.05	18759.42	14.22	10	3.71	38.57	3.61	65.19	12074.34	134.52	409.8	3.45	0.5	11.25	1327.89	275426.56	125677.28	1302076.77	34416.78	69.75	5362.02	3.75	33.44	26.6	24.85	3.75	19564.55	3.75	39.29	10.34	3.75	3.75	14914.24	4466.8	3.75	25	37.5	673.78	12.5	37.5	112.5
Cosmic_35	feces	181.7	26731.8	14427.6	7.5	782.6	315.5	536.6	75	50.6	1395.3	367.63	84.63	5	15.51	12.68	27.02	2.5	1358.05	49655.67	18.58	193.83	0.24	19.96	1.8	159.83	9203.44	79.75	35.7	10.34	0.5	339.89	713.79	99276.38	56261.89	1078.92	246.55	69.75	37.04	7.55	5.56	2117.62	125.84	3.75	1992.85	40.71	2259.91	6.13	18.32	96.64	2212.56	15683.12	92.92	25	37.5	5645.6	12.5	294.69	112.5
Cosmic_46	feces	297	53745.1	18367.1	136.3	5439.8	372.8	2090.8	2927.4	457.2	525.2	431.69	238.62	7.7	57.97	1.83	25.72	500	5.52	9236.88	46.36	10	1.69	108.35	0.85	234.72	50000	44.41	100.94	13.65	0.5	77.53	2998.62	43100.81	30641.76	4496.81	117.82	69.75	18	3.75	61	39.81	55.7	22.97	19347.37	3.75	45.14	36.58	2	3.75	12196.74	50978.36	65.98	25	37.5	22726.23	12.5	35.26	112.5
Cosmic_45	feces	312	35385	51437.7	582.9	4722	428.6	15581.3	467.9	7038.7	478.1	187.12	89.75	36.04	5	0.57	46.32	500	7.5	2545.37	3.37	16.9	0.5	5.74	1	18.07	3174.37	35.6	8.86	1	0.5	4.5	1154.7	115253.92	26014.9	2477.17	34.75	69.75	18	19.22	30.03	3619.51	86.81	3.75	13184.14	17.37	3491.25	2.43	3.75	5.16	9949.93	3509.51	4.42	25	37.5	2978.49	12.5	37.5	112.5
Cosmic_48	feces	58.6	9506.6	2664.5	7.5	472.6	434.4	350.1	75	15	15	3706.43	18.11	5	75.82	0.78	9.21	117.13	29	1390.42	55.11	10	3.19	202.95	1.61	477.44	5346.33	139	149.15	1.31	0.5	1406.05	1809.31	249762.01	121019.47	736890.42	15717.37	69.75	2257.35	3.75	3.75	37.06	52.61	157.57	88.71	21.2	66.24	386.13	897.26	3.75	47.35	8424.8	3.75	25	37.5	1534.33	12.5	153.77	112.5
Cosmic_51	feces	370.5	121681	15991.9	7.5	2681.3	1110	38506.5	75	3023.9	15	909.05	49.4	5	47.64	2.86	36	81.6	3.44	8121.99	17.2	10	0.24	92.73	1.88	222.61	10463.11	76.63	124.12	5.69	0.4	145.56	2561.81	51030.8	24389.03	169849.78	4148.13	69.75	1060.7	16.33	22.97	2686.72	126.15	12.28	4709.74	47.65	3341.96	4.67	3.75	91.41	5269.98	3971.5	148.47	25	37.5	1894.83	12.5	70.88	112.5
Cosmic_54	feces	301.9	21174.5	3113.6	7.5	1223.4	1984	2936.5	1908.6	366.4	214.4	1055.08	96.43	31.88	34.01	4.12	137.79	179.79	7.5	24607.73	82.33	10	9.58	85.77	1.21	384.24	14973.87	146.82	487.05	23.28	0.86	11.25	2488.17	59770.46	141449.12	257936.56	18736.03	69.75	5414.47	166.99	101.27	12671.19	874.24	3.75	23606.15	280.23	18334.74	5.7	12.52	6.7	33310.3	933.33	14.2	25	37.5	2896.07	12.5	83.86	112.5
Cosmic_31	feces	1490.7	81398.5	21744.9	7.5	8104.9	1780.3	7358.6	75	500.1	2385.4	512.55	99.06	19.96	82.48	31.22	10.59	25.52	2.37	7749.34	60.9	10	14.15	180.11	0.81	204.01	173.72	176.45	929.07	1	0.66	1666.32	1839.09	626932.33	132459.43	1990959.4	15516.74	3749.58	1219.02	3.75	3.75	32.02	14.8	63.49	105.88	3	38.13	14.65	124.4	42.42	78.98	563.81	136.72	25	366.84	496.53	12.5	16004.56	9385.95
Cosmic_36	feces	267.5	9723.2	18819.5	7.5	6615.4	1538.2	2795.5	75	475.2	2832.3	1656.63	25	11.91	33.59	1.91	2.58	37.33	13.76	3135.39	1.5	10	5.83	2.25	0.64	4.4	223.98	103.85	135.8	1.61	0.5	218.1	449.12	472560.92	125117.69	1615749.89	27645.06	10621.86	3293.05	3.75	3.75	8.48	3.75	3.75	19.34	3.75	26.41	3.75	14.61	6.32	24.5	116.99	22.44	25	37.5	311.91	8.67	4717	7157.98
Cosmic_39	feces	72.5	3497.4	79891.7	7.5	4422.3	645.5	2054.4	75	694	711.5	2369.95	23.46	5	9.7	14.18	97.11	18.48	18.71	5637.42	6.19	10	3.04	11.87	0.61	138.75	243.55	57.2	177.31	0.61	0.5	229.64	2829.67	175580.69	45470.3	1054598.57	31518.4	4661.39	6651.8	3.75	3.75	3.75	3.75	3.75	5	3.75	3.67	3.75	4.05	5.06	3.56	37.5	4.73	17.08	37.5	37.5	12.5	1622.46	3171.68
Cosmic_40	feces	74.3	3445.2	3329.4	7.5	907.5	553.7	947.9	75	1495.2	15	1297.86	25	5	5.68	0.79	4.85	28.69	3.25	1055.91	18.81	45.37	1.42	3.44	0.46	10.66	90.95	45.44	142.53	1	0.5	98.98	188.17	127430.19	17877.14	224423.58	6751.43	779.26	755.77	3.75	3.75	3.75	3.75	3.75	3.75	3.75	3.75	3.75	10.29	3.75	3.75	37.5	32.17	25	37.5	37.5	12.5	9631.74	6214.35
Cosmic_41	feces	869.7	53141.2	20450.1	7.5	5187.4	1033.2	1119.3	75	153.1	625.5	750.73	25	18.2	12.02	1.12	9.71	50.84	5.08	5260.65	8.58	10	2.76	71.38	0.4	129.02	474.54	140.72	913.08	2.72	0.5	927.51	968.79	244533.18	85585.4	1224054.85	5691.44	3112.37	559.28	3.75	3.75	10.98	2.3	3.75	15.57	3.75	22.46	4.75	15.86	20.06	24.41	89.25	26.8	25	32.11	246.51	12.5	4102.36	3992.2
Cosmic_52	feces	948.3	35418.7	7446.4	97.1	28701.8	1162.2	964.4	75	71	3359.7	622.92	75.29	7.72	90.2	200	6.92	21.58	19.28	3743.19	12.58	10	18.18	30.42	1	59.83	231.81	59.12	7500	1.78	0.5	869.18	1212.73	339872.72	81460.61	2355043.19	12360.98	6142.13	1077.38	3.75	3.75	61.99	31.3	3.75	243.83	6.31	67.86	13.88	232.31	31.53	184.49	1060.47	145.61	25	67.91	1636.34	12.5	16751.27	18192.68
Cosmic_57	feces	443.3	13412.1	2434.1	143.4	2091.3	627.2	2074.1	75	207.6	3795.7	421.99	113.21	5	31.42	0.51	10.57	500	5.97	1204.23	5.22	56.64	2.66	68	1.31	114.13	127.42	474.03	1973.13	1.22	0.5	287.54	1088.14	130544.08	55636.23	522952.4	18118.37	4681.06	2152.59	3.75	3.75	1.39	3.75	1.79	12.73	3.75	3.78	34.44	148.36	3.75	17.71	6173.62	2.68	25	37.5	3957.11	12.5	2586.71	1153.64
Cosmic_53	feces	232.1	10386.2	12162.7	7.5	4501.2	686.2	444.4	75	281.8	752.6	789.78	25	39.74	82.25	7.86	9.1	500	9.27	7685.23	3.3	10	9.18	90.19	0.64	266.81	175.72	116.51	1126.12	1	0.48	1280.82	235.67	503399.6	59003.4	2041176.65	13576.53	4469.35	1990.56	3.75	3.75	55.23	8.18	93.6	31.55	7.62	241.93	3.75	114.6	71.13	84.01	330.39	45.78	25	220.65	1115.36	12.5	5083.9	11191.62
Cosmic_58	feces	402.4	8292.7	3688.1	7.5	2176.5	236.6	1641.3	75	225.9	1944.5	163.65	25	5	12.44	9.42	5.18	14.04	5.09	1673.22	1.22	10	1.99	22.74	0.41	126.87	50.5	55.76	135.94	1.35	0.5	295.89	1027.86	77579.39	24222.05	605219.07	8337.01	2168.74	1087.93	3.75	3.75	3.24	3.46	3.75	24.4	3.75	3.56	3.75	10.47	1.77	21.14	66.71	15.12	25	37.5	97.86	12.5	2974.85	3338.69
Cosmic_56	feces	990.6	35690.6	39564.9	7.5	34007.7	1871.4	16818.2	75	1020.2	2820.5	1052.28	48.83	5	37.5	1.57	10.11	58.34	58.62	5221.21	6.71	10	2.91	49.69	0.39	42.69	6268.49	51.89	152.12	1.36	0.5	88.1	1346.65	309170.06	57711.43	1050352.21	6819.2	3532.95	688.18	3.75	3.75	16.74	6.18	4.25	40.4	4	40.42	19.12	395.84	20.08	72.73	3181.4	32.09	25	198.88	4200.03	12.5	7765	7625.92
