measure1	measure2	rho	p	type1	type2	Padj
plasma_untarg_2-hydroxyphenylacetate	B.cells__PS.ATP	-0.6272727272727272	0.00177998668712558	plasma_untarg_metabo	SCENITH_measure	0.03934707413646019
plasma_untarg_deoxycholate	CD4.naive__PS.ATP	-0.6909090909090909	3.707308632520996e-4	plasma_untarg_metabo	SCENITH_measure	0.020091220976242816
plasma_untarg_guanidinoacetate	B.cells__PS.ATP	0.5545454545454546	0.00739776009815365	plasma_untarg_metabo	SCENITH_measure	0.08584344915324316
plasma_untarg_guanidinoacetate	CD8.central.memory__PS.ATP	0.6454545454545454	0.00117829178779841	plasma_untarg_metabo	SCENITH_measure	0.03093015942970826
plasma_untarg_citrulline	B.cells__PS.ATP	-0.5454545454545454	0.00865021761649743	plasma_untarg_metabo	SCENITH_measure	0.09375719739171406
plasma_untarg_citrulline	CD4.Effector.memory__PS.ATP	-0.5818181818181818	0.00450442914308506	plasma_untarg_metabo	SCENITH_measure	0.06413085559646527
plasma_untarg_proline	CD4.naive__Glucose.dependence	0.5890472368206179	0.0039210029518555	plasma_untarg_metabo	SCENITH_measure	0.062144197727521125
plasma_untarg_urea	CD4.central.memory__PS.ATP	0.6545454545454545	9.491508830024644e-4	plasma_untarg_metabo	SCENITH_measure	0.027974973393756843
plasma_untarg_glycerate	Mono.intermediate__Mitochondrial.dependence	0.6027460097699345	0.00298790973559283	plasma_untarg_metabo	SCENITH_measure	0.05283882479785216
plasma_untarg_glycerate	CD8.naive__Mitochondrial.dependence	0.7653778399313849	3.319922498641699e-5	plasma_untarg_metabo	SCENITH_measure	0.00496523995068603
plasma_untarg_hippurate	CD4.naive__Mitochondrial.dependence	0.5504818825631803	0.00793766856299719	plasma_untarg_metabo	SCENITH_measure	0.08831313368102835
plasma_untarg_indolelactate	CD4.naive__PS.ATP	-0.5545454545454546	0.00739776009815365	plasma_untarg_metabo	SCENITH_measure	0.08584344915324316
plasma_untarg_3-indoxyl sulfate	CD4.central.memory__PS.ATP	0.5727272727272728	0.00533930499008992	plasma_untarg_metabo	SCENITH_measure	0.07119073320119894
plasma_untarg_3-indoxyl sulfate	Mono.classical__Mitochondrial.dependence	0.6363636363636364	0.00145289144656945	plasma_untarg_metabo	SCENITH_measure	0.035015226008082774
plasma_untarg_1-methylguanidine	CD4.Effector.memory__PS.ATP	-0.890909090909091	2.7274518203639383e-8	plasma_untarg_metabo	SCENITH_measure	2.2910595291057082e-5
plasma_untarg_1-methylguanidine	CD8.central.memory__PS.ATP	-0.6	0.00315824109833418	plasma_untarg_metabo	SCENITH_measure	0.05448493827415709
plasma_untarg_1-methylguanidine	CD8.naive__Mitochondrial.dependence	0.5603659185211924	0.00667758536377312	plasma_untarg_metabo	SCENITH_measure	0.08458628081329389
plasma_untarg_tartronate (hydroxymalonate)	CD8.central.memory__PS.ATP	-0.6363636363636364	0.00145289144656944	plasma_untarg_metabo	SCENITH_measure	0.035015226008082774
plasma_untarg_tartronate (hydroxymalonate)	CD8.naive__Mitochondrial.dependence	0.6150357642305772	0.00231702027280014	plasma_untarg_metabo	SCENITH_measure	0.04355416887305008
plasma_untarg_threonate	CD4.naive__Glucose.dependence	0.6666736168667458	7.033998289996877e-4	plasma_untarg_metabo	SCENITH_measure	0.026871217720712073
plasma_untarg_glycolithocholate	CD4.central.memory__PS.ATP	-0.5818181818181818	0.00450442914308506	plasma_untarg_metabo	SCENITH_measure	0.06413085559646527
plasma_untarg_glycolithocholate	Mono.intermediate__Mitochondrial.dependence	0.6073122674197067	0.00272177037486084	plasma_untarg_metabo	SCENITH_measure	0.04917992190956594
plasma_untarg_glycolithocholate	CD4.naive__Glucose.dependence	0.5479509179726677	0.00829008333182498	plasma_untarg_metabo	SCENITH_measure	0.0910283659965096
plasma_untarg_propionylcarnitine (C3)	Mono.classical__PS.ATP	0.7545454545454545	4.963131036954846e-5	plasma_untarg_metabo	SCENITH_measure	0.0052112875888025885
plasma_untarg_propionylcarnitine (C3)	CD4.naive__PS.ATP	-0.6363636363636364	0.00145289144656944	plasma_untarg_metabo	SCENITH_measure	0.035015226008082774
plasma_untarg_propionylcarnitine (C3)	CD8.central.memory__PS.ATP	-0.5545454545454546	0.00739776009815365	plasma_untarg_metabo	SCENITH_measure	0.08584344915324316
plasma_untarg_propionylcarnitine (C3)	CD8.EMRA__PS.ATP	-0.5603659185211924	0.00667758536377312	plasma_untarg_metabo	SCENITH_measure	0.08458628081329389
plasma_untarg_propionylcarnitine (C3)	Mono.classical__Glucose.dependence	0.5603659185211924	0.00667758536377312	plasma_untarg_metabo	SCENITH_measure	0.08458628081329389
plasma_untarg_glycylleucine	Mono.classical__PS.ATP	0.606779876216918	0.00275173372589238	plasma_untarg_metabo	SCENITH_measure	0.04917992190956594
plasma_untarg_glycylleucine	CD8.central.memory__PS.ATP	-0.6607158652139774	8.162796519151738e-4	plasma_untarg_metabo	SCENITH_measure	0.026871217720712073
plasma_untarg_glycylleucine	CD4.naive__Mitochondrial.dependence	0.5443310539518174	0.00881644795625159	plasma_untarg_metabo	SCENITH_measure	0.09494636260578636
plasma_untarg_p-cresol sulfate	Mono.classical__Mitochondrial.dependence	0.790909090909091	1.1770498940142932e-5	plasma_untarg_metabo	SCENITH_measure	0.003954887643888025
plasma_untarg_phenylacetylglutamine	CD4.central.memory__PS.ATP	0.5818181818181818	0.00450442914308506	plasma_untarg_metabo	SCENITH_measure	0.06413085559646527
plasma_untarg_phenylacetylglutamine	Mono.classical__Mitochondrial.dependence	0.7636363636363637	3.546599964775735e-5	plasma_untarg_metabo	SCENITH_measure	0.00496523995068603
plasma_untarg_homostachydrine*	CD4.naive__Mitochondrial.dependence	0.614704768862218	0.00233325904677054	plasma_untarg_metabo	SCENITH_measure	0.04355416887305008
plasma_untarg_catechol sulfate	CD4.naive__Mitochondrial.dependence	0.697277051246695	3.101798105787924e-4	plasma_untarg_metabo	SCENITH_measure	0.018089886140682607
plasma_untarg_glycolithocholate sulfate*	CD4.central.memory__PS.ATP	-0.7545454545454545	4.963131036954846e-5	plasma_untarg_metabo	SCENITH_measure	0.0052112875888025885
