measure1	measure2	rho	p	type1	type2	Padj	Padj_taxa_metabo
Faecalibacterium_prausnitzii.t__SGB15342	feces_untarg_proline	-0.788631528991599	1.3696236491769906e-7	species_relab	feces_untarg_metabo	1.285344017183448e-5	1.666375439832005e-5
GGB9699_SGB15216.t__SGB15216	feces_untarg_prolylhydroxyproline	-0.7923604565495674	1.0858628771502105e-7	species_relab	feces_untarg_metabo	1.126248545406815e-5	1.666375439832005e-5
Lachnospiraceae_bacterium_CLA_AA_H244.t__SGB4993	feces_untarg_prolylhydroxyproline	-0.7963955347958084	8.40151576985754e-8	species_relab	feces_untarg_metabo	9.43816498680543e-6	1.666375439832005e-5
Ruminococcus_bicirculans.t__SGB4262	feces_untarg_prolylhydroxyproline	-0.7723242512014831	3.5902909904217813e-7	species_relab	feces_untarg_metabo	2.27802834319938e-5	3.2761405287598756e-5
Candidatus_Cibionibacter_quicibialis.t__SGB15286	feces_untarg_prolylhydroxyproline	-0.7520253942645531	1.0735043471654818e-6	species_relab	feces_untarg_metabo	4.2914731612374533e-5	6.530484778590014e-5
Faecalibacterium_prausnitzii.t__SGB15318	feces_untarg_proline	-0.7533625162545854	1.0020001020387715e-6	species_relab	feces_untarg_metabo	4.1165595432278e-5	6.530484778590014e-5
Anaerostipes_hadrus.t__SGB4540	feces_untarg_prolylhydroxyproline	-0.7448460173877509	1.5431582858706015e-6	species_relab	feces_untarg_metabo	5.4056084607658206e-5	7.04065967928462e-5
Clostridiaceae_bacterium.t__SGB4269	feces_untarg_prolylhydroxyproline	-0.7464723794429483	1.4228569267961625e-6	species_relab	feces_untarg_metabo	5.182127114073315e-5	7.04065967928462e-5
Romboutsia_timonensis.t__SGB6148	feces_untarg_prolylhydroxyproline	-0.7413139448591555	1.8368470432053695e-6	species_relab	feces_untarg_metabo	5.919418499009635e-5	7.449435230777332e-5
Blautia_sp_MCC283.t__SGB4828	feces_untarg_proline	-0.7354469136433521	2.4385580089409405e-6	species_relab	feces_untarg_metabo	7.05922309130579e-5	8.900736732634433e-5
Fusicatenibacter_sp_CLA_AA_H277.t__SGB4780	feces_untarg_proline	-0.7238405110851991	4.182390543038479e-6	species_relab	feces_untarg_metabo	9.755849015825133e-5	1.387793225644586e-4
Blautia_sp_MCC283.t__SGB4828	feces_untarg_prolylhydroxyproline	-0.7208884725742569	4.777165733242929e-6	species_relab	feces_untarg_metabo	1.0624118568289984e-4	1.4530545771947244e-4
Coprococcus_catus.t__SGB4670	feces_untarg_prolylhydroxyproline	-0.714280529958858	6.395149025603119e-6	species_relab	feces_untarg_metabo	1.273926521269654e-4	1.7955610725731833e-4
Agathobaculum_butyriciproducens.t__SGB14993	feces_untarg_prolylhydroxyproline	-0.7064603125443033	8.940135885235738e-6	species_relab	feces_untarg_metabo	1.563936215798984e-4	2.1754330654073626e-4
Clostridium_sp_AM22_11AC.t__SGB4749	feces_untarg_proline	-0.7078408835358815	8.433299578422084e-6	species_relab	feces_untarg_metabo	1.5042982088171137e-4	2.1754330654073626e-4
Fusicatenibacter_saccharivorans.t__SGB4874	feces_untarg_prolylhydroxyproline	-0.7011518815047033	1.1155543972012207e-5	species_relab	feces_untarg_metabo	1.8284761228536987e-4	2.544858468615285e-4
Ruminococcus_bromii.t__SGB4285	feces_untarg_prolylhydroxyproline	-0.696474718120925	1.3505746361153498e-5	species_relab	feces_untarg_metabo	2.0682113944773568e-4	2.899763189306486e-4
Eubacterium_rectale.t__SGB4933	feces_untarg_prolylhydroxyproline	-0.6915907727730135	1.6428030974250616e-5	species_relab	feces_untarg_metabo	2.3472424875328225e-4	3.331239614223042e-4
Blautia_wexlerae.t__SGB4837	feces_untarg_proline	-0.6844649099776281	2.1717750174622483e-5	species_relab	feces_untarg_metabo	2.7629195792771617e-4	4.172094112493266e-4
Faecalibacterium_SGB15346.t__SGB15346	feces_untarg_proline	-0.6811840715834874	2.4632862872332516e-5	species_relab	feces_untarg_metabo	2.979719869154995e-4	4.495497474200684e-4
Anaerobutyricum_hallii.t__SGB4532	feces_untarg_prolylhydroxyproline	-0.6707918819544704	3.633537908881579e-5	species_relab	feces_untarg_metabo	3.8104934712839727e-4	5.441907572813284e-4
Fusicatenibacter_sp_CLA_AA_H277.t__SGB4780	feces_untarg_prolylhydroxyproline	-0.6709121682981956	3.61754025324856e-5	species_relab	feces_untarg_metabo	3.801620296343552e-4	5.441907572813284e-4
Dorea_longicatena.t__SGB4582	feces_untarg_N-methylproline	0.6700960499929963	3.727333953981702e-5	species_relab	feces_untarg_metabo	3.880620082016966e-4	5.441907572813284e-4
Roseburia_inulinivorans.t__SGB4940	feces_untarg_proline	-0.6748127597983871	3.1318415442056333e-05	species_relab	feces_untarg_metabo	3.477063992214688e-4	5.441907572813284e-4
Eubacteriaceae_bacterium.t__SGB5043	feces_untarg_prolylhydroxyproline	-0.6731858942703937	3.326799270928949e-5	species_relab	feces_untarg_metabo	3.614691916506914e-4	5.441907572813284e-4
Oliverpabstia_intestinalis.t__SGB4868	feces_untarg_prolylhydroxyproline	-0.6630049964866748	4.814762134626183e-5	species_relab	feces_untarg_metabo	4.567232852722752e-4	6.759185304379065e-4
Faecalibacterium_SGB15346.t__SGB15346	feces_untarg_prolylhydroxyproline	-0.655611882179354	6.243584662691718e-5	species_relab	feces_untarg_metabo	5.406729945885442e-4	7.351317425427345e-4
Faecalibacterium_prausnitzii.t__SGB15318	feces_untarg_prolylhydroxyproline	-0.6564324227077386	6.0681721484014334e-5	species_relab	feces_untarg_metabo	5.30709616223665e-4	7.351317425427345e-4
Faecalibacterium_prausnitzii.t__SGB15342	feces_untarg_prolylhydroxyproline	-0.6572529632361233	5.897185404348726e-5	species_relab	feces_untarg_metabo	5.22104036435034e-4	7.351317425427345e-4
Alistipes_onderdonkii.t__SGB2303	feces_untarg_proline	-0.6588249033436697	5.581623816973464e-5	species_relab	feces_untarg_metabo	5.014266418302475e-4	7.351317425427345e-4
Dorea_formicigenerans.t__SGB4575	feces_untarg_proline	-0.657808098025234	5.783964927792625e-5	species_relab	feces_untarg_metabo	5.147907381917591e-4	7.351317425427345e-4
Roseburia_faecis.t__SGB4925	feces_untarg_prolylhydroxyproline	-0.654149840545586	6.567417671079536e-5	species_relab	feces_untarg_metabo	5.619626223467845e-4	7.490960781075096e-4
Candidatus_Cibionibacter_quicibialis.t__SGB15286	feces_untarg_proline	-0.65165652603622	7.15448730670308e-5	species_relab	feces_untarg_metabo	5.950374706815665e-4	7.913296566504921e-4
Fusicatenibacter_saccharivorans.t__SGB4874	feces_untarg_proline	-0.6487857924413468	7.888225755327587e-5	species_relab	feces_untarg_metabo	6.378011432473536e-4	8.325525669904324e-4
Clostridium_sp_AF36_4.t__SGB4644	feces_untarg_prolylhydroxyproline	-0.6484311708611326	7.98338077936031e-5	species_relab	feces_untarg_metabo	6.438076498207553e-4	8.325525669904324e-4
Coprococcus_catus.t__SGB4670	feces_untarg_proline	-0.6463251636457411	8.569928155138059e-5	species_relab	feces_untarg_metabo	6.754509390086743e-4	8.688954935070532e-4
Faecalibacterium_prausnitzii.t__SGB15316	feces_untarg_prolylhydroxyproline	-0.6407399783434985	1.0316322466430229e-4	species_relab	feces_untarg_metabo	7.600168938469574e-4	8.965375476778651e-4
Agathobaculum_butyriciproducens.t__SGB14993	feces_untarg_proline	-0.643721730218691	9.348065860752794e-5	species_relab	feces_untarg_metabo	7.101503195497331e-4	8.965375476778651e-4
Clostridium_sp_AM49_4BH.t__SGB4652	feces_untarg_prolylhydroxyproline	-0.6425631982419483	9.714181894871858e-5	species_relab	feces_untarg_metabo	7.297209534357018e-4	8.965375476778651e-4
Anaerobutyricum_hallii.t__SGB4532	feces_untarg_proline	-0.6409938012552623	1.0230546353750698e-4	species_relab	feces_untarg_metabo	7.556738464422262e-4	8.965375476778651e-4
GGB47687_SGB2286.t__SGB2286	feces_untarg_N-methylproline	0.6440686194797726	9.240867008989736e-5	species_relab	feces_untarg_metabo	7.073329804263503e-4	8.965375476778651e-4
Veillonella_parvula.t__SGB6939	feces_untarg_prolylhydroxyproline	0.6407979147302946	1.02966872865976e-4	species_relab	feces_untarg_metabo	7.590656170320781e-4	8.965375476778651e-4
Alistipes_onderdonkii.t__SGB2303	feces_untarg_N-methylproline	0.6380070160632936	1.1281395034471868e-4	species_relab	feces_untarg_metabo	8.098347020245924e-4	9.576067878098215e-4
Intestinibacter_bartlettii.t__SGB6140	feces_untarg_N-methylproline	0.6366104857424082	1.1804977986484492e-4	species_relab	feces_untarg_metabo	8.342873584353682e-4	9.792765829697363e-4
Faecalibacterium_prausnitzii.t__SGB15332	feces_untarg_prolylhydroxyproline	-0.6309139785439009	1.4172392502735342e-4	species_relab	feces_untarg_metabo	9.45310292653524e-4	0.0011495385029996444
Mediterraneibacter_faecis.t__SGB4563	feces_untarg_prolylhydroxyproline	-0.626482693421698	1.6297254825270332e-4	species_relab	feces_untarg_metabo	0.00104027115029889	0.0012656378747284407
Eubacteriaceae_bacterium.t__SGB5043	feces_untarg_N-methylproline	0.6270149858848592	1.6027858148732726e-4	species_relab	feces_untarg_metabo	0.00102857540698971	0.0012656378747284407
Clostridiaceae_bacterium.t__SGB4269	feces_untarg_proline	-0.6257279685905582	1.6686133136467328e-4	species_relab	feces_untarg_metabo	0.00105508025162802	0.0012688413739188698
Blautia_wexlerae.t__SGB4837	feces_untarg_prolylhydroxyproline	-0.6244313421007364	1.7373542529096366e-4	species_relab	feces_untarg_metabo	0.00108260027056694	0.001294151637371464
Clostridiales_bacterium_KLE1615.t__SGB5090	feces_untarg_prolylhydroxyproline	-0.6213595887899385	1.910355859807285e-4	species_relab	feces_untarg_metabo	0.00115995336091879	0.0013672154682934491
Adlercreutzia_equolifaciens.t__SGB14797	feces_untarg_prolylhydroxyproline	-0.6214488962480207	1.9051175780617665e-4	species_relab	feces_untarg_metabo	0.00115816683858247	0.0013672154682934491
Dorea_sp_AF36_15AT.t__SGB4552	feces_untarg_prolylhydroxyproline	-0.6193781324178361	2.0299192528234637e-4	species_relab	feces_untarg_metabo	0.00121262460766004	0.0013726413559336957
Gemmiger_formicilis.t__SGB15300	feces_untarg_prolylhydroxyproline	-0.6197357359551247	2.0078616293790628e-4	species_relab	feces_untarg_metabo	0.00120189687658449	0.0013726413559336957
Veillonella_parvula.t__SGB6939	feces_untarg_proline	0.6193646176367128	2.0307570745320427e-4	species_relab	feces_untarg_metabo	0.00121262460766004	0.0013726413559336957
Coprococcus_comes.t__SGB4577	feces_untarg_proline	-0.6174784238497466	2.1507463533397577e-4	species_relab	feces_untarg_metabo	0.00126444082667063	0.0014273134890345665
Roseburia_faecis.t__SGB4925	feces_untarg_proline	-0.6161859906286619	2.236558984007532e-4	species_relab	feces_untarg_metabo	0.00129675432817011	0.0014321825073030686
GGB9699_SGB15216.t__SGB15216	feces_untarg_N-methylproline	0.616454903596931	2.2184578369683489e-4	species_relab	feces_untarg_metabo	0.00129141033800251	0.0014321825073030686
Anaerostipes_hadrus.t__SGB4540	feces_untarg_proline	-0.61147441462752	2.5757119434935514e-4	species_relab	feces_untarg_metabo	0.00142833135511402	0.001620922171336459
Faecalibacterium_prausnitzii.t__SGB15317	feces_untarg_proline	-0.6092277680758107	2.7529285945516264e-4	species_relab	feces_untarg_metabo	0.00149355123612464	0.0017030829440870233
Faecalibacterium_prausnitzii.t__SGB15332	feces_untarg_N-methylproline	0.6073924759450933	2.9056327228779277e-4	species_relab	feces_untarg_metabo	0.00155751623986251	0.0017675932397507393
Faecalibacterium_prausnitzii.t__SGB15317	feces_untarg_prolylhydroxyproline	-0.6051310467670614	3.104084582345223e-4	species_relab	feces_untarg_metabo	0.00163271935917569	0.0018274046331548488
Oscillibacter_sp_ER4.t__SGB15254	feces_untarg_prolylhydroxyproline	-0.6056595314191968	3.05666272750453e-4	species_relab	feces_untarg_metabo	0.00161535578451699	0.0018274046331548488
Eubacterium_ventriosum.t__SGB5045	feces_untarg_prolylhydroxyproline	-0.6023124624305739	3.36817538369626e-4	species_relab	feces_untarg_metabo	0.00172355249091654	0.0019514031984906902
Lachnospiraceae_bacterium.t__SGB4781	feces_untarg_prolylhydroxyproline	-0.6008909727332687	3.50875804703381e-4	species_relab	feces_untarg_metabo	0.00177478593920785	0.0020010885736989697
Eubacterium_rectale.t__SGB4933	feces_untarg_proline	-0.5980919937088395	3.800828842199045e-4	species_relab	feces_untarg_metabo	0.00187596192634662	0.0021343115806194634
Roseburia_inulinivorans.t__SGB4940	feces_untarg_prolylhydroxyproline	-0.5958574438450069	4.0492245433131784e-4	species_relab	feces_untarg_metabo	0.00196067203288768	0.0022393438762262274
Intestinibacter_bartlettii.t__SGB6140	feces_untarg_prolylhydroxyproline	-0.5948949117081328	4.160568458231327e-4	species_relab	feces_untarg_metabo	0.0020022643452024	0.002266578339185723
Mediterraneibacter_faecis.t__SGB4563	feces_untarg_proline	-0.5893205965475444	4.860202951326615e-4	species_relab	feces_untarg_metabo	0.00222974795245377	0.002582048657045053
