measure1	measure2	rho	p	type1	type2	Padj
Faecalibacterium_prausnitzii	feces__DCA	-0.4407233757535165	0.010256581156409693	species_relab	metabolite	0.11918585084651082
Faecalibacterium_prausnitzii	feces__GCA	-0.28245287217870907	0.11124377685721171	species_relab	metabolite	0.3931759046383995
Faecalibacterium_prausnitzii	feces__GCDCA	-0.20745711805455416	0.24667823128491448	species_relab	metabolite	0.5609869203713912
Faecalibacterium_prausnitzii	feces__Indole.3.Lactic.acid	0.11520428667113197	0.5232058448301127	species_relab	metabolite	0.7825936721538591
Faecalibacterium_prausnitzii	feces__LCA	-0.6490288010716678	4.39191848387023e-5	species_relab	metabolite	0.006564626392655443
Faecalibacterium_prausnitzii	feces__Valeric.Acid	-0.2732752846617549	0.12385944705396451	species_relab	metabolite	0.4112236989779759
Faecalibacterium_prausnitzii	plasma__Butyric.Acid	0.3636363636363636	0.09620030238624805	species_relab	metabolite	0.362857449327249
Faecalibacterium_prausnitzii	plasma__CDCA	0.02727272727272727	0.9041065894496949	species_relab	metabolite	0.9651315686003394
Faecalibacterium_prausnitzii	plasma__DCA	-0.28181818181818186	0.2038606880443575	species_relab	metabolite	0.5133895027955524
Faecalibacterium_prausnitzii	plasma__GCDCA	-0.29359033736702944	0.18479753294144574	species_relab	metabolite	0.49261362207847426
Faecalibacterium_prausnitzii	plasma__GDCA	-0.17272727272727273	0.442085188261507	species_relab	metabolite	0.7294405606314877
Faecalibacterium_prausnitzii	plasma__GLCA	-0.5545454545454546	0.007397760098153658	species_relab	metabolite	0.10216145874678502
Faecalibacterium_prausnitzii	plasma__GUDCA	-0.34545454545454546	0.11533225244328162	species_relab	metabolite	0.3958477084084357
Faecalibacterium_prausnitzii	plasma__Indole.3.Acetic.acid	0.15454545454545454	0.49226347768036927	species_relab	metabolite	0.7608524919621766
Faecalibacterium_prausnitzii	plasma__Indole.3.Lactic.acid	0.3090909090909091	0.16160564423035836	species_relab	metabolite	0.45950012158449155
Faecalibacterium_prausnitzii	plasma__Indole.3.Sulfate	-0.11818181818181818	0.6004129530960759	species_relab	metabolite	0.8230440462958796
Faecalibacterium_prausnitzii	plasma__Indole.3.propionic.acid	0.3909090909090909	0.07204098085387504	species_relab	metabolite	0.3122048874639518
Faecalibacterium_prausnitzii	plasma__Kynurenic.acid	-0.02727272727272727	0.9041065894496945	species_relab	metabolite	0.9651315686003394
Faecalibacterium_prausnitzii	plasma__Propionic.Acid	0.6181818181818182	0.002167374509161771	species_relab	metabolite	0.053181455816947165
Faecalibacterium_prausnitzii	plasma__UDCA	-0.7090909090909091	2.201313541199071e-4	species_relab	metabolite	0.015537604744963442
Faecalibacterium_prausnitzii	plasma__Xanthurenic.acid	0.32727272727272727	0.13708357734075846	species_relab	metabolite	0.4293154187268372
Faecalibacterium_prausnitzii	B.cells__PS.ATP	-0.14545454545454545	0.5183652169136036	species_relab	SCENITH_measure	0.7789272715419674
Faecalibacterium_prausnitzii	Mono.classical__PS.ATP	-0.3181818181818182	0.14898960410565915	species_relab	SCENITH_measure	0.44469371656125356
Faecalibacterium_prausnitzii	Mono.intermediate__PS.ATP	-0.13636363636363635	0.5451093707723296	species_relab	SCENITH_measure	0.7939183670992488
Faecalibacterium_prausnitzii	CD4.Effector.memory__PS.ATP	0.02727272727272727	0.9041065894496949	species_relab	SCENITH_measure	0.9651315686003394
Faecalibacterium_prausnitzii	CD4.central.memory__PS.ATP	0.02727272727272727	0.9041065894496949	species_relab	SCENITH_measure	0.9651315686003394
Faecalibacterium_prausnitzii	CD4.naive__PS.ATP	-0.15454545454545454	0.49226347768036927	species_relab	SCENITH_measure	0.7608524919621766
Faecalibacterium_prausnitzii	CD8.central.memory__PS.ATP	-0.4181818181818182	0.05277312421131879	species_relab	SCENITH_measure	0.26431637704525834
Faecalibacterium_prausnitzii	CD8.EMRA__PS.ATP	-0.30523997187739754	0.16716775364671904	species_relab	SCENITH_measure	0.4686751061137813
Faecalibacterium_prausnitzii	Mono.classical__Mitochondrial.dependence	-0.2727272727272727	0.21945507788407664	species_relab	SCENITH_measure	0.5309615659564708
Faecalibacterium_prausnitzii	Mono.intermediate__Mitochondrial.dependence	-0.47032453792653983	0.027179893395034734	species_relab	SCENITH_measure	0.18991047419830412
Faecalibacterium_prausnitzii	CD4.naive__Mitochondrial.dependence	-0.1834939608543934	0.4137003009162551	species_relab	SCENITH_measure	0.7102311176837955
Faecalibacterium_prausnitzii	CD8.naive__Mitochondrial.dependence	-0.24601430569223084	0.2697563683445299	species_relab	SCENITH_measure	0.5834803859262576
Faecalibacterium_prausnitzii	Mono.classical__Glucose.dependence	0.33713071520787186	0.1249555680632834	species_relab	SCENITH_measure	0.4128895948619031
Faecalibacterium_prausnitzii	Mono.intermediate__Glucose.dependence	-0.43379447672836197	0.04369317473292077	species_relab	SCENITH_measure	0.23944864916538824
