NR90	spc	sample	cpm	data	FMT_group	name	prot
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_1-892	29.2346	shotgun_metagenomics	FMT_grp_1	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_11-821	5.93532	shotgun_metagenomics	FMT_grp_10	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_12-1052	0.461705	shotgun_metagenomics	FMT_grp_11	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_2-901	11.5932	shotgun_metagenomics	FMT_grp_2	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_3-911	26.7089	shotgun_metagenomics	FMT_grp_3	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_4-913	0	shotgun_metagenomics	FMT_grp_4	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_5-915	0.326407	shotgun_metagenomics	FMT_grp_5	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_6-955	4.91815	shotgun_metagenomics	FMT_grp_6	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_6-955	4.91815	shotgun_metagenomics	FMT_grp_8	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_7-983	0.515082	shotgun_metagenomics	FMT_grp_7	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_8-964	0.322755	shotgun_metagenomics	FMT_grp_9	donor	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_27	0	shotgun_metagenomics	FMT_grp_1	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_29	0	shotgun_metagenomics	FMT_grp_2	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_31	10.0428	shotgun_metagenomics	FMT_grp_1	after_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_32	0	shotgun_metagenomics	FMT_grp_3	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_34	0	shotgun_metagenomics	FMT_grp_4	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_35	0	shotgun_metagenomics	FMT_grp_5	before_FMT	Proline Transport protein
UniRef90_A0A1Q6QQD2	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_36	7.57961	shotgun_metagenomics	FMT_grp_3	after_FMT	Proline Transport protein
