clade	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3-911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
k__Bacteria	99.15053	98.86229	100	99.19722	99.47354	100	100	99.08437	100	100	100	100	100	100	99.68138	99.51745	100	100	100	100	99.50085	99.9954	99.98469	98.84015	100	99.97247	100	99.97076	99.89948	100	98.95952
k__Archaea	0.84947	1.13771	0	0.80278	0.52646	0	0	0.84883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02753	0	0.02924	0.10052	0	1.04048
k__Bacteria|p__Firmicutes	72.95593	78.60584	90.10751	83.87854	78.57331	76.58033	92.13253	68.19996	89.16018	85.27298	1.81092	81.42184	61.73511	12.98539	6.65267	71.60724	63.16907	62.80998	61.84367	59.70983	14.13743	19.12552	26.54433	44.68232	62.12049	56.42571	41.58918	49.42497	41.24517	64.54551	63.35717
k__Bacteria|p__Bacteroidota	11.55502	1.15688	0.32004	3.94758	9.32953	0.14418	0.69627	6.95413	0.27087	0.59124	0	0	34.61242	0	0	0	28.04523	26.35234	34.87995	35.75061	0	0.19454	56.49509	0.30509	22.34607	20.52928	0.00212	35.00733	42.81663	21.76139	22.71307
k__Bacteria|p__Bacillota	7.72039	7.50951	1.15134	5.14963	6.84251	1.24816	0.6267	6.45061	1.05259	0.99926	0	0	1.06662	0	0	0	1.43526	2.73421	0.16444	0.57231	0	0	0	0	0.45673	2.33585	0	2.10733	1.45989	1.92294	0.45989
k__Bacteria|p__Actinobacteria	6.02728	11.50264	8.34325	5.50781	4.56752	21.92616	6.43222	14.78987	9.49974	13.12107	0.29045	2.39836	0.55472	0	0	0	1.80444	4.3038	0.95471	2.63372	0.85502	0.06987	16.78972	0.03411	5.04435	0.38078	0.00251	11.30928	9.76531	7.76214	6.63257
k__Archaea|p__Euryarchaeota	0.84947	1.13771	0	0.80278	0.52646	0	0	0.84883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02753	0	0.02924	0.10052	0	0
k__Bacteria|p__Candidatus_Melainabacteria	0.54578	0.01518	0	0.27313	0.01888	0	0	0.05498	0	0	0	0	1.46209	0	0	0	3.08319	0	0	0	0	0	0	0	0	1.82983	0	0.16337	0.00069	0	0
k__Bacteria|p__Proteobacteria	0.34613	0.05853	0.02694	0.35844	0.1418	0.02546	0.0371	0.87887	0.01663	0.00618	64.44744	6.65217	0.53823	87.01461	86.65981	27.91021	2.3851	3.71707	1.82081	1.19752	84.5084	80.34143	0.15554	49.66517	9.98893	18.2119	58.11778	1.91868	4.55793	1.22641	0.54635
k__Bacteria|p__Bacteroidota|c__Bacteroidia	11.55502	1.15114	0.21105	3.90427	9.32953	0.09215	0.37402	6.813	0.15579	0.59101	0	0	34.61242	0	0	0	28.04523	26.13973	34.0349	35.60299	0	0.19454	56.49509	0.30509	22.34607	20.51528	0.00212	34.71336	41.7337	19.7993	20.57191
k__Bacteria|p__Bacillota|c__Clostridia	7.72039	7.50951	1.15134	5.14963	6.84251	1.24816	0.6267	6.45061	1.05259	0.99926	0	0	1.06662	0	0	0	1.43526	2.73421	0.16444	0.57231	0	0	0	0	0.45673	2.33585	0	2.10733	1.45989	1.92294	0.45989
k__Bacteria|p__Actinobacteria|c__Actinomycetia	4.11305	8.97277	5.24993	2.96654	2.62551	19.16399	3.04659	13.71375	6.28615	10.41059	0.29045	2.39676	0.22141	0	0	0	1.09336	2.14907	0.52875	2.33602	0.85502	0.06987	16.30314	0.03239	4.79198	0.06058	0.00251	5.15484	7.23078	6.67277	3.10056
k__Bacteria|p__Firmicutes|c__CFGB14936	1.65346	0	0	0	1.92355	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07635	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1.33156	1.82965	2.4224	1.71915	1.21448	2.17571	2.69056	0.63623	2.73985	2.58619	0	0.0016	0.23397	0	0	0	0.68814	2.07132	0.33298	0.221	0	0	0.48658	0.00172	0.24672	0.26289	0	5.40469	2.32179	0.75886	3.00547
k__Bacteria|p__Firmicutes|c__Negativicutes	1.32599	1.4348	1.55177	1.67348	1.01896	1.05775	1.50396	0.72912	0.87935	2.14223	1.08313	3.00177	0.88779	12.85808	1.41243	23.10657	0.94961	2.55588	0.59209	2.95506	9.60666	11.06333	1.9829	31.10879	0.94263	0	40.14719	0.605	5.56106	1.21864	0.67138
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.84947	1.13771	0	0.80278	0.52646	0	0	0.84883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02753	0	0.02924	0.10052	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	0.80834	0.57297	0.43255	0.2339	0.91769	0.80761	0.51595	0.07983	0.57755	0.90903	0.72779	20.22624	0.3229	0.12731	0.49646	48.48424	10.78899	0.02647	0.41195	0.06943	0.94653	8.0503	0.35534	13.54034	0.02813	0.21288	1.43011	3.35206	0.3526	0.21722	1.0763
k__Bacteria|p__Firmicutes|c__CFGB1765	0.71733	0.36174	0	1.34562	1.18207	0	0	0.42332	0	0	0	0	0.00138	0	0	0	0	0	1.73988	0	0	0	0	0	0	0.40007	0	0	0	0	6.99855
k__Bacteria|p__Actinobacteria|c__CFGB77988	0.58267	0	0	0	0.72752	0	0	0	0	0	0	0	0.09935	0	0	0	0.02294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	0.5399	0	0	0	0.01888	0	0	0	0	0	0	0	1.23804	0	0	0	0.38168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3069	0.35009	0.0023	0	0.00419	0.10323	0	0	0.01973	0	0	0	0	0	0	0	0	0	0	0.03248	0	0	0	0	0	0	0.00429	0	0	0	0	0.67072
k__Bacteria|p__Firmicutes|c__CFGB79294	0.28331	0.20243	0	0.09811	0.6322	0	0	1.03605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB38642	0.24279	0.05247	0	0.02926	0.3144	0.03061	0	0	0	0	0	0	0.10744	0	0	0	0	0	4.26057	0.00197	0	0	0	0	0	0	0	0	0	0	0.11192
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.18903	0.05853	0.00062	0.23591	0.0873	0	0.00232	0.14144	0	0.00533	1.73411	0	0.29706	2.13061	4.65913	0	0.78817	0.99543	0.34451	0.19181	0	5.97319	0	0	0.22214	0.14967	0	0.42559	0.17774	0.10362	0.22705
k__Bacteria|p__Firmicutes|c__CFGB3072	0.17032	0.11486	0	0.06851	0.07898	0.03844	0	0.08692	0	0	0	0	0	0	0	0	0	0	0.00835	0.00346	0	0	0	0	0	0.01628	0	0.00011	0	0.00532	0.97558
k__Bacteria|p__Firmicutes|c__CFGB1249	0.11929	0.21752	0	0.30929	0.00418	0.0093	0.00692	0.55286	0	0	0	0	0	0	0	0	0	0.12281	0	0	0	0	0	0	0.03	0.05409	0	0.39408	0.37827	0	0
k__Bacteria|p__Firmicutes|c__CFGB79291	0.10136	0.02181	0.15083	0.04069	0.14241	0.22705	0.42486	0.07204	0.07214	0.00747	0	0	0	0	0	0	0	0	0.02377	0.00912	0	0	0	0	0.01722	0.01573	0	0	0.06696	0.07721	0.57935
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.09665	0	0	0.03339	0.05362	0	0	0.13118	0	0	0.47179	0	0.24116	13.99076	11.40071	8.69841	0.56593	2.71564	1.19179	0.99556	0	2.03785	0	5.57812	2.36003	1.44941	0.49421	0.51467	1.65355	1.11001	0.31929
k__Bacteria|p__Firmicutes|c__CFGB3054	0.07261	0.05228	0	0.01788	0.00963	0	0	0.14013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601	0	0.04061	0	0	1.89729
k__Bacteria|p__Firmicutes|c__CFGB3057	0.06251	0.00611	0.00763	0.0078	0.07447	0.00704	0.01406	0.13322	0.0027	0	0	0	0.01751	0	0	0	0	0	0.00061	0	0	0	0	0	0.13321	0.02492	0	0.00453	0	0.0055	0.27359
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.06045	0	0.02633	0	0.00088	0.02546	0.03479	0	0.01663	0.00085	62.24154	6.65217	0	70.89324	70.59997	19.2118	1.03101	0.006	0.28451	0.01015	84.5084	72.33039	0.15554	44.08705	0	0	56.72501	0.97842	0.00328	0.01277	0
k__Bacteria|p__Firmicutes|c__CFGB40183	0.03915	0	0	0	0.01116	0.00366	0.01495	0.00392	0	0	0	0	0	0	0	0	0	0	0.00249	0	0	0	0	0	0	0	0	0	0	0	0.00902
