bodysite	metabolites	restored	type_restoration	FMT_effect	chem_name
feces	93	restored	over	restored over	alpha-ketoglutarate
feces	158	depleted	normal	depleted normal	5,6-dihydrothymine
feces	171	restored	normal	restored normal	hypoxanthine
feces	240	depleted	normal	depleted normal	3-(4-hydroxyphenyl)lactate (HPLA)
feces	275	depleted	normal	depleted normal	creatinine
feces	302	restored	normal	restored normal	deoxycholate
feces	313	restored	normal	restored normal	sphinganine
feces	342	depleted	partial	depleted partial	glycocholate
feces	344	depleted	normal	depleted normal	guanidinoacetate
feces	480	depleted	normal	depleted normal	proline
feces	536	restored	normal	restored normal	2'-deoxyuridine
feces	799	depleted	normal	depleted normal	betaine
feces	925	restored	normal	restored normal	heptanoate (7:0)
feces	926	restored	normal	restored normal	caproate (6:0)
feces	1004	restored	normal	restored normal	xanthine
feces	1090	depleted	normal	depleted normal	bilirubin
feces	1134	restored	normal	restored normal	urate
feces	1215	restored	normal	restored normal	N-acetylglucosaminylasparagine
feces	1221	depleted	normal	depleted normal	creatine
feces	1254	restored	normal	restored normal	glycerol
feces	1628	depleted	partial	depleted partial	glycochenodeoxycholate
feces	2054	restored	normal	restored normal	ethylmalonate
feces	100000010	restored	normal	restored normal	3-phenylpropionate (hydrocinnamate)
feces	100000039	restored	normal	restored normal	methionine sulfoxide
feces	100000257	depleted	normal	depleted normal	glucuronate
feces	100000463	depleted	normal	depleted normal	indolelactate
feces	100000656	depleted	normal	depleted normal	1-stearoyl-GPI (18:0)
feces	100000706	depleted	normal	depleted normal	alpha-hydroxyisocaproate
feces	100000774	depleted	normal	depleted normal	phenyllactate (PLA)
feces	100000776	depleted	normal	depleted normal	palmitoylcarnitine (C16)
feces	100000787	restored	normal	restored normal	N-acetylaspartate (NAA)
feces	100000846	depleted	normal	depleted normal	erythritol
feces	100000863	restored	normal	restored normal	adipate
feces	100001148	restored	normal	restored normal	5-hydroxyhexanoate
feces	100001167	depleted	normal	depleted normal	prolylhydroxyproline
feces	100001211	restored	normal	restored normal	sebacate (C10-DC)
feces	100001251	depleted	normal	depleted normal	decanoylcarnitine (C10)
feces	100001263	depleted	partial	depleted partial	1-palmitoyl-GPC (16:0)
