bodysite	metabolites	restored	type_restoration	FMT_effect	chem_name	SUPER_PATHWAY	SUB_PATHWAY
feces	35	NS	normal	NS	feces_untarg_S-1-pyrroline-5-carboxylate	Amino Acid	Glutamate Metabolism
feces	50	NS	normal	NS	feces_untarg_spermidine	Amino Acid	Polyamine Metabolism
feces	55	NS	normal	NS	feces_untarg_1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism
feces	62	NS	normal	NS	feces_untarg_12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy
feces	93	restored	partial	restored partial	feces_untarg_alpha-ketoglutarate	Energy	TCA Cycle
feces	98	NS	normal	NS	feces_untarg_kynurenate	Amino Acid	Tryptophan Metabolism
feces	111	depleted	normal	depleted normal	feces_untarg_3-hydroxyisobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism
feces	112	NS	normal	NS	feces_untarg_3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism
feces	136	depleted	normal	depleted normal	feces_untarg_cholate	Lipid	Primary Bile Acid Metabolism
feces	144	NS	over	NS	feces_untarg_4-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism
feces	158	depleted	normal	depleted normal	feces_untarg_5,6-dihydrothymine	Nucleotide	Pyrimidine Metabolism, Thymine containing
feces	171	restored	normal	restored normal	feces_untarg_hypoxanthine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing
feces	179	NS	normal	NS	feces_untarg_9,10-DiHOME	Lipid	Fatty Acid, Dihydroxy
feces	180	NS	normal	NS	feces_untarg_linoleate (18:2n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)
feces	181	NS	normal	NS	feces_untarg_laurate (12:0)	Lipid	Medium Chain Fatty Acid
feces	189	NS	normal	NS	feces_untarg_N6,N6,N6-trimethyllysine	Amino Acid	Lysine Metabolism
feces	192	NS	normal	NS	feces_untarg_N-acetylputrescine	Amino Acid	Polyamine Metabolism
feces	194	NS	normal	NS	feces_untarg_N-formylmethionine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism
feces	209	NS	normal	NS	feces_untarg_AMP	Nucleotide	Purine Metabolism, Adenine containing
feces	213	NS	normal	NS	feces_untarg_N6-methyladenosine	Nucleotide	Purine Metabolism, Adenine containing
feces	229	NS	over	NS	feces_untarg_arachidonate (20:4n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)
feces	231	NS	normal	NS	feces_untarg_arginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism
feces	234	NS	normal	NS	feces_untarg_aspartate	Amino Acid	Alanine and Aspartate Metabolism
feces	240	depleted	normal	depleted normal	feces_untarg_3-(4-hydroxyphenyl)lactate (HPLA)	Amino Acid	Tyrosine Metabolism
feces	241	NS	normal	NS	feces_untarg_phenylpyruvate	Amino Acid	Phenylalanine Metabolism
feces	244	NS	over	NS	feces_untarg_beta-alanine	Nucleotide	Pyrimidine Metabolism, Uracil containing
