"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.44054024213822	0.0760465017623835	1.93178806284777e-14	1.2899755337988e-11	1.93178806284777e-14	9.34511727261149e-12	"abundance"	30	30
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.52435165240507	0.0770649290044118	9.76996261670138e-15	1.2899755337988e-11	9.76996261670138e-15	9.34511727261149e-12	"abundance"	30	30
"GLUTORN.PWY..L.ornithine.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.39374616661347	0.073538362323129	2.62012633811537e-14	1.2899755337988e-11	2.62012633811537e-14	9.34511727261149e-12	"abundance"	30	30
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.71859201386291	0.127573342983094	4.66293670342566e-14	1.35869093753627e-11	4.66293670342566e-14	9.84292012974817e-12	"abundance"	30	30
"PWY.5941..glycogen.degradation.II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.58890011752998	0.118673944652673	6.43929354282591e-14	1.35869093753627e-11	6.43929354282591e-14	9.84292012974817e-12	"abundance"	30	30
"PWY.6270..isoprene.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.47188434078317	0.0992385749506059	5.15143483426073e-14	1.35869093753627e-11	5.15143483426073e-14	9.84292012974817e-12	"abundance"	30	30
"PWY.6823..molybdopterin.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.62217531491241	0.119343061248277	5.77315972805081e-14	1.35869093753627e-11	5.77315972805081e-14	9.84292012974817e-12	"abundance"	30	30
"PWY.7238..sucrose.biosynthesis.II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.83506496640174	0.15777631513095	1.42774680966795e-13	2.19569140647025e-11	1.42774680966795e-13	1.5906498340712e-11	"abundance"	30	30
"PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.36474711731505	0.101299990802617	1.48658862997308e-13	2.19569140647025e-11	1.48658862997308e-13	1.5906498340712e-11	"abundance"	30	30
"PWY.7560..methylerythritol.phosphate.pathway.II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.25305574038395	0.0836990782015662	1.47104550762833e-13	2.19569140647025e-11	1.47104550762833e-13	1.5906498340712e-11	"abundance"	30	30
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.26787414972368	0.0894334027501366	1.84519066692701e-13	2.47758783186472e-11	1.84519066692701e-13	1.79486728510173e-11	"abundance"	30	30
"ARO.PWY..chorismate.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.27177066262509	0.0946279576551338	2.22266649529956e-13	2.52529108735189e-11	2.22266649529956e-13	1.82942549997733e-11	"abundance"	30	30
"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.34838634221134	0.103054398886059	2.07056594092592e-13	2.52529108735189e-11	2.07056594092592e-13	1.82942549997733e-11	"abundance"	30	30
"PWY.6317..D.galactose.degradation.I..Leloir.pathway."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.30719954556814	0.10616311420904	3.45390382960886e-13	3.64386854023735e-11	3.45390382960886e-13	2.63976935548677e-11	"abundance"	30	30
